order_id,region,country,shipping_mode,real_days,scheduled_days,delay_days,is_late,order_value_usd,item_quantity,co2_emission_tons
77202,Southeast Asia,Indonesia,Standard Class,3,4,-1,0,314.6400146,1,5e-05
75939,South Asia,India,Standard Class,5,4,1,1,311.3599854,1,5e-05
75938,South Asia,India,Standard Class,4,4,0,0,309.7200012,1,5e-05
75937,Oceania,Australia,Standard Class,3,4,-1,0,304.8099976,1,5e-05
75936,Oceania,Australia,Standard Class,2,4,-2,0,298.25,1,5e-05
75935,Oceania,Australia,Standard Class,6,4,2,1,294.980011,1,5e-05
75934,Eastern Asia,China,First Class,2,1,1,1,288.4200134,1,0.0004
75933,Eastern Asia,China,First Class,2,1,1,1,285.1400146,1,0.0004
75932,Eastern Asia,China,Second Class,3,2,1,1,278.5899963,1,0.0002
75931,Eastern Asia,China,First Class,2,1,1,1,275.3099976,1,0.0004
75930,Eastern Asia,Japón,Second Class,6,2,4,1,272.0299988,1,0.0002
75929,Southeast Asia,Indonesia,Second Class,5,2,3,1,268.7600098,1,0.0002
75928,Southeast Asia,Indonesia,Second Class,4,2,2,1,262.2000122,1,0.0002
75927,South Asia,India,First Class,2,1,1,1,245.8099976,1,0.0004
75926,South Asia,India,First Class,2,1,1,1,327.75,1,0.0004
75925,South Asia,India,First Class,2,1,1,1,324.4700012,1,0.0004
75924,Eastern Asia,Corea del Sur,Second Class,5,2,3,1,321.2000122,1,0.0002
75923,South Asia,India,First Class,2,1,1,1,317.9200134,1,0.0004
75922,South Asia,India,First Class,2,1,1,1,314.6400146,1,0.0004
75921,South Asia,India,Same Day,0,0,0,0,311.3599854,1,0.0009
75920,South Asia,India,Same Day,0,0,0,0,309.7200012,1,0.0009
75919,South Asia,India,Standard Class,5,4,1,1,304.8099976,1,5e-05
75918,Oceania,Australia,Second Class,4,2,2,1,298.25,1,0.0002
75917,Oceania,Australia,Second Class,3,2,1,1,294.980011,1,0.0002
75916,Oceania,Australia,Second Class,2,2,0,0,288.4200134,1,0.0002
75915,Oceania,Australia,Second Class,6,2,4,1,285.1400146,1,0.0002
75914,Oceania,Australia,Second Class,5,2,3,1,278.5899963,1,0.0002
75913,Eastern Asia,China,Standard Class,4,4,0,0,275.3099976,1,5e-05
75912,Eastern Asia,China,Standard Class,3,4,-1,0,272.0299988,1,5e-05
75911,Eastern Asia,China,Standard Class,2,4,-2,0,268.7600098,1,5e-05
75910,Eastern Asia,China,Standard Class,6,4,2,1,262.2000122,1,5e-05
75909,South Asia,India,Standard Class,5,4,1,1,245.8099976,1,5e-05
